episode,total_reward
1,102.70000000000003
2,37.99999999999999
3,86.00000000000003
4,61.30000000000001
5,66.50000000000001
6,71.40000000000003
7,94.70000000000003
8,102.00000000000004
9,46.700000000000024
10,105.80000000000004
11,94.70000000000005
12,68.60000000000001
13,110.00000000000003
14,63.400000000000006
15,105.10000000000002
16,78.00000000000004
17,61.30000000000003
18,102.00000000000004
19,67.20000000000002
20,76.60000000000004
21,70.70000000000002
22,55.40000000000001
23,63.000000000000014
24,107.20000000000003
25,91.20000000000003
26,102.00000000000004
27,70.00000000000004
28,109.30000000000003
29,91.20000000000003
30,76.60000000000002
31,23.399999999999988
32,98.50000000000001
33,92.60000000000002
34,19.899999999999995
35,111.40000000000005
36,119.40000000000003
37,61.300000000000026
38,83.20000000000002
39,89.80000000000003
40,94.00000000000004
41,118.70000000000005
42,46.7
43,78.00000000000004
44,65.80000000000003
45,30.699999999999996
46,73.10000000000002
47,112.10000000000004
48,102.70000000000005
49,54.70000000000002
50,90.50000000000001
51,70.70000000000003
52,79.40000000000003
53,57.10000000000001
54,76.60000000000002
55,78.70000000000005
56,100.60000000000004
57,78.70000000000003
58,70.70000000000003
59,96.40000000000002
60,94.70000000000003
61,64.80000000000003
62,70.70000000000005
63,91.90000000000002
64,115.20000000000003
65,114.50000000000003
66,100.60000000000004
67,91.20000000000003
68,92.60000000000002
69,72.80000000000003
70,70.70000000000003
71,80.80000000000004
72,102.70000000000005
73,89.80000000000001
74,51.20000000000002
75,86.00000000000003
76,61.30000000000003
77,95.40000000000003
78,62.70000000000005
79,91.20000000000003
80,78.00000000000004
81,101.30000000000004
82,101.30000000000003
83,70.70000000000002
84,105.80000000000003
85,86.00000000000004
86,94.00000000000004
87,83.20000000000002
88,85.30000000000001
89,71.40000000000003
90,79.40000000000003
91,91.90000000000003
92,84.60000000000004
93,92.60000000000004
94,85.30000000000003
95,82.50000000000001
96,77.30000000000004
97,94.70000000000005
98,78.70000000000003
99,72.80000000000003
100,63.40000000000004
101,112.10000000000004
102,94.00000000000004
103,98.50000000000001
104,32.099999999999994
105,90.50000000000001
106,64.10000000000004
107,77.30000000000003
108,80.80000000000004
109,82.50000000000003
110,35.9
111,53.30000000000001
112,71.40000000000003
113,70.00000000000004
114,70.00000000000003
115,63.400000000000034
116,70.70000000000002
117,91.90000000000003
118,101.30000000000003
119,116.60000000000002
120,68.60000000000004
121,81.10000000000001
122,46.000000000000036
123,54.70000000000003
124,72.80000000000004
125,62.70000000000005
126,82.50000000000001
127,109.30000000000004
128,62.00000000000003
129,99.90000000000002
130,109.30000000000004
131,87.40000000000003
132,61.30000000000002
133,109.30000000000004
134,75.90000000000003
135,38.00000000000002
136,63.40000000000002
137,44.60000000000001
138,77.30000000000003
139,81.10000000000002
140,77.30000000000004
141,63.40000000000002
142,48.80000000000002
143,46.00000000000003
144,52.600000000000016
145,77.30000000000004
146,96.10000000000004
147,60.60000000000002
148,71.70000000000002
149,61.300000000000026
150,72.80000000000003
151,87.40000000000003
152,70.70000000000002
153,99.20000000000003
154,83.20000000000002
155,72.10000000000005
156,30.699999999999996
157,72.10000000000005
158,108.60000000000004
159,78.00000000000001
160,60.60000000000003
161,74.50000000000003
162,60.60000000000002
163,62.00000000000002
164,106.50000000000003
165,84.60000000000004
166,78.70000000000005
167,32.79999999999999
168,102.70000000000005
169,46.70000000000001
170,123.90000000000002
171,69.30000000000001
172,70.70000000000002
173,79.4
