episode,total_reward
1,111.40000000000003
2,56.80000000000001
3,56.80000000000002
4,39.39999999999999
5,71.40000000000003
6,104.10000000000004
7,64.10000000000002
8,88.10000000000004
9,46.70000000000003
10,110.00000000000004
11,120.10000000000005
12,78.70000000000002
13,94.70000000000003
14,46.70000000000001
15,110.00000000000003
16,78.00000000000004
17,62.00000000000003
18,94.70000000000003
19,54.700000000000024
20,68.60000000000002
21,70.00000000000001
22,78.70000000000003
23,68.60000000000002
24,76.60000000000001
25,62.00000000000002
26,111.40000000000005
27,72.10000000000005
28,102.00000000000003
29,91.90000000000003
30,72.80000000000003
31,39.40000000000002
32,80.80000000000003
33,87.40000000000003
34,29.999999999999993
35,112.10000000000005
36,102.00000000000003
37,70.00000000000003
38,78.00000000000003
39,102.70000000000003
40,91.20000000000003
41,118.00000000000004
42,53.300000000000004
43,75.20000000000002
44,51.20000000000003
45,38.0
46,80.80000000000004
47,75.20000000000002
48,118.00000000000004
49,63.40000000000002
50,75.90000000000002
51,79.40000000000003
52,82.50000000000003
53,39.40000000000001
54,76.60000000000002
55,69.30000000000003
56,90.50000000000003
57,87.40000000000003
58,71.40000000000003
59,100.60000000000004
60,110.70000000000005
61,64.80000000000003
62,72.10000000000004
63,77.30000000000003
64,78.00000000000003
65,114.50000000000001
66,92.60000000000004
67,98.50000000000003
68,78.00000000000003
69,58.500000000000014
70,74.50000000000001
71,105.80000000000003
72,102.70000000000005
73,99.90000000000002
74,67.90000000000003
75,97.10000000000002
76,73.10000000000002
77,56.800000000000026
78,84.60000000000004
79,105.80000000000001
80,74.50000000000003
81,99.20000000000003
82,138.5
83,67.20000000000002
84,106.50000000000003
85,76.60000000000002
86,90.50000000000003
87,65.10000000000002
88,95.70000000000002
89,74.50000000000003
90,85.60000000000001
91,87.00000000000001
92,81.80000000000003
93,88.40000000000002
94,80.4
95,85.30000000000001
96,111.00000000000001
97,97.80000000000004
98,76.60000000000001
99,78.70000000000005
100,74.50000000000003
101,99.20000000000002
102,90.50000000000003
103,88.4
104,80.40000000000002
105,87.70000000000002
106,79.0
107,69.60000000000001
108,118.30000000000001
109,66.50000000000003
110,45.60000000000001
111,64.4
112,55.000000000000014
113,82.50000000000003
114,86.30000000000001
115,73.10000000000002
116,63.000000000000014
117,73.10000000000002
118,95.70000000000002
119,95.70000000000002
120,75.90000000000002
121,89.10000000000001
122,55.70000000000001
123,67.20000000000002
124,90.50000000000003
125,71.00000000000001
126,73.10000000000002
127,91.90000000000002
128,61.30000000000002
129,89.10000000000001
130,89.10000000000002
131,89.10000000000002
132,48.400000000000006
133,103.00000000000001
134,74.50000000000003
135,39.70000000000001
136,83.20000000000003
137,73.10000000000001
138,89.80000000000003
139,51.20000000000001
140,91.90000000000003
141,82.50000000000001
142,90.50000000000003
143,65.10000000000002
144,59.900000000000034
145,80.40000000000002
146,102.30000000000001
147,83.90000000000002
148,75.20000000000002
149,56.400000000000006
150,82.50000000000001
151,83.20000000000002
152,76.60000000000002
153,99.20000000000003
154,74.50000000000001
155,87.00000000000003
156,41.800000000000004
157,80.80000000000005
158,91.20000000000003
159,89.10000000000001
160,67.90000000000002
161,80.40000000000002
162,91.20000000000002
163,64.4
164,103.70000000000002
165,106.50000000000003
166,72.4
167,54.70000000000002
168,125.60000000000002
169,61.60000000000001
170,120.40000000000002
171,54.30000000000001
172,72.4
173,87.00000000000001
174,111.70000000000002
175,64.4
176,64.4
177,117.60000000000001
178,78.30000000000001
179,63.70000000000002
180,112.40000000000002
181,109.60000000000001
182,117.60000000000001
183,95.70000000000002
184,57.80000000000001
185,78.30000000000001
186,101.60000000000001
187,89.80000000000003
188,80.40000000000002
189,47.70000000000002
190,102.30000000000001
191,95.00000000000001
192,45.599999999999994
193,119.70000000000003
194,103.40000000000005
195,95.00000000000001
196,97.80000000000003
197,104.40000000000002
198,63.7
199,60.60000000000003
200,103.00000000000001
201,92.2
202,111.00000000000001
203,78.70000000000002
204,47.70000000000001
205,84.9
206,55.70000000000002
207,47.7
208,103.00000000000003
209,97.80000000000003
210,52.900000000000006
211,94.30000000000001
212,93.60000000000002
213,116.90000000000002
214,78.30000000000001
215,65.10000000000002
216,95.70000000000002
217,81.10000000000002
218,105.10000000000002
219,93.60000000000001
220,40.400000000000006
221,94.30000000000001
222,54.30000000000001
223,95.7
224,83.20000000000002
225,73.10000000000001
226,47.0
227,79.00000000000001
228,82.50000000000003
229,63.000000000000014
230,101.60000000000001
231,65.8
232,85.30000000000004
233,86.30000000000001
234,79.00000000000001
235,74.50000000000003
236,92.60000000000001
237,82.50000000000003
238,75.20000000000002
239,72.40000000000003
240,78.30000000000001
241,62.70000000000005
242,62.30000000000001
243,62.300000000000004
244,87.00000000000001
245,53.60000000000001
246,70.30000000000001
247,95.70000000000002
248,89.80000000000003
249,85.60000000000002
250,81.10000000000002
251,57.1
252,78.30000000000001
253,57.80000000000003
254,79.00000000000003
255,65.10000000000001
256,75.20000000000002
257,81.8
258,81.80000000000003
259,47.000000000000014
260,89.10000000000001
261,93.60000000000001
262,79.70000000000002
263,81.10000000000002
264,96.40000000000002
265,74.50000000000001
266,38.30000000000001
267,73.10000000000001
268,69.60000000000002
269,95.00000000000001
270,75.5
271,89.80000000000003
272,106.50000000000003
273,79.00000000000001
274,71.7
275,118.30000000000001
276,102.30000000000001
277,76.9
278,135.0
279,46.30000000000001
280,89.10000000000002
281,89.10000000000002
282,80.40000000000002
283,81.10000000000001
284,74.50000000000001
285,65.80000000000003
286,66.50000000000003
287,65.80000000000001
288,87.70000000000003
289,101.60000000000001
290,88.4
291,54.300000000000004
292,105.80000000000003
293,83.20000000000003
294,72.40000000000002
295,104.40000000000002
296,81.10000000000002
297,123.20000000000003
298,112.40000000000002
299,81.80000000000001
300,96.40000000000002
301,78.30000000000001
302,103.70000000000002
303,26.499999999999996
304,90.50000000000003
305,113.10000000000002
306,129.8
307,74.50000000000001
308,64.4
309,111.70000000000002
310,105.10000000000002
311,66.50000000000001
312,87.70000000000002
313,89.80000000000003
314,51.2
315,95.00000000000001
316,91.20000000000003
317,91.20000000000003
318,47.7
319,89.10000000000002
320,89.10000000000002
321,89.80000000000003
322,73.80000000000003
323,101.60000000000001
324,73.80000000000003
325,97.80000000000003
326,97.80000000000003
327,55.70000000000002
328,56.40000000000001
329,56.40000000000002
330,83.90000000000003
331,63.70000000000001
332,82.50000000000001
333,74.50000000000003
334,94.00000000000001
335,87.70000000000002
336,89.80000000000001
337,49.100000000000016
338,88.40000000000002
339,103.70000000000003
340,52.600000000000016
341,81.80000000000001
342,68.60000000000004
343,105.10000000000002
344,98.50000000000003
345,91.20000000000003
346,82.50000000000003
347,112.40000000000002
348,70.30000000000001
349,84.60000000000004
350,63.0
351,95.70000000000002
352,82.50000000000001
353,73.80000000000003
354,93.60000000000001
355,68.60000000000002
356,74.50000000000001
357,120.40000000000002
358,119.00000000000001
359,97.80000000000003
360,96.40000000000002
361,121.10000000000002
362,75.20000000000003
363,111.70000000000002
364,87.00000000000001
365,89.10000000000002
366,50.5
367,81.80000000000003
368,52.60000000000001
369,67.90000000000002
370,105.80000000000003
371,88.40000000000002
372,113.10000000000002
373,74.50000000000003
374,87.70000000000002
375,97.10000000000002
376,95.00000000000001
377,87.00000000000001
378,81.80000000000003
379,120.40000000000003
380,50.50000000000002
381,63.7
382,106.50000000000003
383,105.10000000000002
384,89.10000000000002
385,96.40000000000002
386,72.40000000000002
387,112.40000000000002
388,104.40000000000002
389,89.80000000000003
390,95.00000000000001
391,51.20000000000001
392,55.00000000000001
393,89.80000000000003
394,79.70000000000002
395,89.80000000000001
396,79.70000000000002
397,81.10000000000002
398,104.40000000000002
399,96.40000000000002
400,95.00000000000001
401,71.00000000000001
402,66.50000000000001
403,97.80000000000003
404,64.40000000000002
405,74.50000000000001
406,83.90000000000002
407,73.10000000000002
408,68.9
409,105.10000000000002
410,82.50000000000003
411,57.80000000000001
412,65.80000000000003
413,79.00000000000001
414,89.80000000000003
415,91.90000000000002
416,111.70000000000002
417,58.500000000000014
418,40.400000000000006
419,57.1
420,71.70000000000002
421,72.40000000000002
422,65.10000000000001
423,107.20000000000002
424,75.20000000000003
425,59.20000000000003
426,71.70000000000002
427,82.50000000000003
428,64.40000000000002
429,97.10000000000002
430,58.50000000000003
431,104.40000000000002
432,55.7
433,97.10000000000004
434,81.10000000000002
435,136.39999999999998
436,81.10000000000001
437,81.80000000000001
438,81.80000000000003
439,81.80000000000003
440,49.800000000000026
441,71.00000000000001
442,104.40000000000002
443,89.80000000000003
444,99.20000000000002
445,71.70000000000002
446,98.50000000000003
447,82.50000000000001
448,89.10000000000004
449,45.60000000000001
450,73.10000000000002
451,95.00000000000003
452,63.0
453,74.50000000000001
454,67.20000000000003
455,80.40000000000002
456,81.10000000000001
457,88.40000000000002
458,71.00000000000001
459,65.10000000000002
460,84.90000000000002
461,89.80000000000003
462,79.70000000000002
463,73.10000000000001
