episode,total_reward
1,102.70000000000003
2,37.99999999999999
3,86.00000000000003
4,38.699999999999996
5,66.50000000000001
6,99.90000000000002
7,78.70000000000002
8,102.00000000000004
9,46.700000000000024
10,106.50000000000003
11,102.70000000000005
12,65.80000000000001
13,100.60000000000002
14,46.70000000000002
15,113.80000000000003
16,82.50000000000003
17,59.200000000000024
18,99.20000000000003
19,67.20000000000002
20,66.50000000000003
21,75.20000000000002
22,55.40000000000001
23,63.000000000000014
24,96.40000000000002
25,72.40000000000002
26,105.80000000000003
27,74.50000000000003
28,105.10000000000002
29,89.10000000000002
30,82.50000000000001
31,29.29999999999999
32,98.50000000000001
33,81.10000000000002
34,25.799999999999994
35,106.50000000000003
36,102.70000000000005
37,61.300000000000026
38,83.20000000000002
39,105.10000000000002
40,90.50000000000001
41,115.90000000000003
42,51.199999999999996
43,65.80000000000003
44,65.80000000000003
45,36.6
46,73.10000000000002
47,74.50000000000001
48,115.20000000000003
49,59.20000000000001
50,90.50000000000001
51,68.60000000000002
52,83.20000000000005
53,58.50000000000001
54,75.90000000000003
55,66.50000000000003
56,89.80000000000003
57,76.60000000000002
58,65.80000000000003
59,104.40000000000002
60,94.70000000000003
61,64.80000000000003
62,67.90000000000002
63,80.4
64,98.50000000000003
65,114.50000000000003
66,100.60000000000004
67,89.80000000000003
68,91.90000000000002
69,59.20000000000002
70,70.70000000000003
71,80.80000000000004
72,102.70000000000005
73,89.80000000000001
74,52.60000000000001
75,106.50000000000003
76,74.50000000000001
77,83.20000000000002
78,83.20000000000003
79,89.10000000000001
80,74.50000000000003
81,99.20000000000003
82,129.8
83,67.20000000000002
84,92.60000000000004
85,83.20000000000003
86,88.40000000000002
87,65.10000000000002
88,85.30000000000001
89,76.60000000000004
90,82.50000000000001
91,91.90000000000003
92,81.10000000000002
93,91.20000000000003
94,83.20000000000002
95,82.50000000000001
96,75.20000000000003
97,94.70000000000005
98,99.90000000000002
99,72.80000000000003
100,65.80000000000001
101,98.50000000000003
102,106.50000000000003
103,98.50000000000001
104,59.20000000000001
105,89.80000000000001
106,83.20000000000002
107,73.80000000000003
108,80.80000000000004
109,82.50000000000003
110,33.8
111,51.900000000000006
112,59.200000000000024
113,82.50000000000003
114,82.50000000000003
115,67.90000000000003
116,67.20000000000003
117,91.90000000000003
118,100.60000000000002
119,115.20000000000002
120,82.50000000000003
121,81.80000000000001
122,46.000000000000036
123,67.20000000000002
124,72.80000000000004
125,83.90000000000003
126,81.10000000000001
127,98.50000000000003
128,59.200000000000024
129,99.90000000000003
130,73.80000000000003
131,85.30000000000003
132,52.600000000000016
133,106.50000000000003
134,65.10000000000002
135,42.50000000000001
136,61.30000000000001
137,65.10000000000001
138,90.50000000000003
139,64.40000000000002
140,75.90000000000003
141,68.60000000000001
142,48.80000000000002
143,57.10000000000002
144,44.60000000000002
145,84.60000000000004
146,99.20000000000003
147,58.5
148,65.80000000000003
149,67.20000000000002
150,72.80000000000003
151,83.20000000000002
152,75.20000000000002
153,99.20000000000003
154,81.10000000000002
155,83.20000000000003
156,38.0
157,72.10000000000005
158,107.90000000000003
159,82.50000000000003
160,76.60000000000002
161,87.00000000000001
162,74.50000000000001
163,60.600000000000016
164,106.50000000000003
165,105.10000000000002
166,77.30000000000004
167,32.79999999999999
168,101.30000000000004
169,49.8
170,122.50000000000001
171,65.80000000000001
172,75.20000000000002
173,78.7
174,115.20000000000003
175,47.40000000000001
